FIPS,LAPOP1_10,Pop2010,diet_prevalence
1001,18503.0,54571,0.3390628722215096
1003,45789.0,122198,0.37471153374032307
1005,5636.0,25358,0.22225727581039514
1007,365.0,22915,0.015928431158629717
1009,3902.0,7050,0.5534751773049645
1011,7480.0,10914,0.6853582554517134
1013,2508.0,17373,0.14436194094284235
1015,42576.0,82789,0.5142712196064695
1017,6746.0,23350,0.2889079229122056
1019,3506.0,16193,0.21651330821960107
1021,4446.0,21375,0.208
1023,3373.0,13859,0.2433797532289487
1025,10185.0,25833,0.3942631517826036
1027,978.0,13932,0.07019810508182601
1029,891.0,10770,0.08272980501392757
1031,16060.0,34694,0.4629042485732403
1033,17904.0,43657,0.4101060540119568
1035,3487.0,11457,0.3043554159029414
1037,2607.0,11539,0.2259294566253575
1039,4878.0,28592,0.1706071628427532
1041,4101.0,8689,0.4719760616871907
1043,6772.0,35770,0.18932065977075763
1045,11622.0,23097,0.503182231458631
1047,6672.0,35705,0.18686458479204593
1051,15066.0,27512,0.5476155859261413
1053,4078.0,33803,0.12064017986569239
1055,42464.0,69522,0.6107994591640057
1057,163.0,12742,0.012792340291947889
1059,4491.0,31704,0.1416540499621499
1061,2243.0,10510,0.21341579448144624
1063,2971.0,9045,0.32846876727473745
1065,2389.0,10361,0.23057619920857061
1067,3963.0,9405,0.42137161084529506
1069,14398.0,61656,0.23352147398468925
1071,5640.0,25060,0.22505985634477255
1073,226576.0,507941,0.4460675550900597
1075,89.0,10402,0.008556046914054989
1077,15761.0,54184,0.29087922633987895
1079,4275.0,16464,0.25965743440233235
1081,47074.0,122169,0.3853186978693449
1083,14118.0,23067,0.6120431785667837
1085,4411.0,11299,0.3903885299584034
1087,8996.0,16989,0.5295191005945024
1089,116443.0,252340,0.4614528017753824
1091,5807.0,21027,0.2761687354353926
1093,932.0,27478,0.03391804352572968
1095,20717.0,41298,0.5016465688411061
1097,103439.0,243057,0.4255750708681503
1099,4295.0,19526,0.21996312608829252
1101,63497.0,173329,0.36633800460396126
1103,27035.0,68927,0.39222655853294064
1105,4187.0,10591,0.3953356623548296
1107,820.0,16090,0.0509633312616532
1109,7628.0,27905,0.2733560293854148
1111,6718.0,18322,0.36666302805370593
1113,7885.0,29538,0.2669442751709662
1115,8084.0,10508,0.7693186143890369
1117,67198.0,122632,0.5479646421814861
1119,2483.0,13763,0.18041124754777302
1121,15308.0,35917,0.4262048612077846
1123,3099.0,21345,0.14518622628250175
1125,41787.0,148546,0.28130680058702356
1127,5793.0,21828,0.2653930731170973
1129,1966.0,12992,0.15132389162561577
1131,4897.0,11670,0.4196229648671808
1133,1033.0,9966,0.10365241822195465
2013,1226.0,3141,0.3903215536453359
2016,1190.0,5561,0.21399028951627405
2020,82856.0,205273,0.4036380819688902
2050,11678.0,17013,0.6864162699112444
2060,561.0,997,0.5626880641925778
2068,1826.0,1826,1.0
2070,2462.0,4847,0.5079430575613781
2090,37788.0,75199,0.5025066822697111
2100,519.0,2508,0.2069377990430622
2105,2137.0,2150,0.9939534883720931
2110,6475.0,26471,0.24460730610857165
2122,13103.0,42978,0.3048769137698357
2130,216.0,11209,0.019270229280042822
2150,5801.0,13592,0.42679517363154795
2164,1631.0,1631,1.0
2170,25703.0,55947,0.45941694818310186
2180,2196.0,9492,0.23135271807838179
2185,3575.0,9430,0.37910922587486745
2188,3473.0,7523,0.46165093712614647
2195,168.0,3815,0.044036697247706424
2198,1262.0,5559,0.22701924806619897
2220,3066.0,8881,0.3452313928611643
2230,3.0,968,0.0030991735537190084
2240,2090.0,7029,0.297339593114241
