fips,pa_tweets,diet_tweets,smoking_tweets,alcohol_tweets,sleep_tweets,total_tweets,leisure_prev,smoking_prev,binge_prev,sleep_prev,obesity_prev,diet_prevalence,pa_rate,diet_rate,smoking_rate,alcohol_rate,sleep_rate,state
01001,971,202,35,363,216,2173,28.05,20.1417,15.3333,38.3583,38.75,0.3390628722215096,0.44684767602393005,0.09295904279797515,0.016106764841233318,0.16705016106764842,0.09940174873446847,01
01003,5486,981,167,2601,930,12317,25.1065,17.4806,15.3871,34.4935,33.4194,0.374711533740323,0.4454006657465292,0.07964601769911504,0.01355849638710725,0.21117155151416742,0.07550539904197451,01
01005,260,39,7,113,41,557,37.0111,26.1333,12.2444,42.4111,46.1333,0.2222572758103951,0.466786355475763,0.07001795332136446,0.012567324955116697,0.20287253141831238,0.07360861759425494,01
01007,123,25,5,50,38,299,31.675,23.475,15.2,39.4,38.65,0.0159284311586297,0.411371237458194,0.08361204013377926,0.016722408026755852,0.16722408026755853,0.12709030100334448,01
01009,519,86,19,205,112,1151,29.5,22.3778,14.9444,36.9667,32.8889,0.5534751773049645,0.45091225021720244,0.07471763683753258,0.016507384882710686,0.17810599478714162,0.09730668983492616,01
01011,60,15,1,23,23,140,38.9,24.6,11.6,44.9,47.4,0.6853582554517134,0.42857142857142855,0.10714285714285714,0.007142857142857143,0.16428571428571428,0.16428571428571428,01
01013,117,39,12,63,30,313,33.7667,22.6667,12.2889,39.4667,44.8,0.1443619409428423,0.3738019169329074,0.12460063897763578,0.038338658146964855,0.2012779552715655,0.09584664536741214,01
01015,3154,725,123,1335,731,7428,31.2,22.7607,13.9036,38.3893,38.3571,0.5142712196064695,0.4246095853527194,0.09760366182014,0.016558966074313407,0.1797253634894992,0.09841141626278944,01
01017,458,296,20,175,147,1273,34.0778,22.2,12.8778,42.2667,41.5444,0.2889079229122056,0.35978004713275724,0.23252160251374707,0.015710919088766692,0.13747054202670855,0.11547525530243519,01
01019,165,32,8,112,30,398,31.3,23.4833,14.5,38.1167,42.6167,0.216513308219601,0.41457286432160806,0.08040201005025126,0.020100502512562814,0.2814070351758794,0.07537688442211055,01
01021,416,93,23,543,88,1317,31.5222,22.8,15.1667,40.2333,38.3556,0.208,0.31586940015186027,0.07061503416856492,0.017463933181473046,0.4123006833712984,0.06681852695520121,01
01023,42,17,1,28,29,139,34.1,23.0,12.125,42.975,43.25,0.2433797532289487,0.302158273381295,0.1223021582733813,0.007194244604316547,0.2014388489208633,0.20863309352517986,01
01025,212,70,10,65,70,521,34.3444,24.5222,11.9444,39.8333,41.0,0.3942631517826036,0.4069097888675624,0.1343570057581574,0.019193857965451054,0.12476007677543186,0.1343570057581574,01
01027,84,21,1,33,18,198,34.35,25.325,13.45,38.5,39.475,0.070198105081826,0.42424242424242425,0.10606060606060606,0.005050505050505051,0.16666666666666666,0.09090909090909091,01
01029,62,12,1,27,7,139,30.15,22.55,14.9,36.4,38.725,0.0827298050139275,0.4460431654676259,0.08633093525179857,0.007194244604316547,0.19424460431654678,0.050359712230215826,01
01031,647,145,28,235,176,1496,31.6357,20.5357,13.9643,39.5571,43.9571,0.4629042485732403,0.4324866310160428,0.09692513368983957,0.01871657754010695,0.1570855614973262,0.11764705882352941,01
01033,1034,252,38,416,242,2353,31.0571,20.8714,13.5286,36.5643,37.3071,0.4101060540119568,0.4394390140246494,0.10709732256693583,0.016149596260093498,0.17679558011049723,0.10284742881427965,01
01035,48,15,3,16,14,133,36.98,24.28,11.92,41.86,42.54,0.3043554159029414,0.3609022556390977,0.11278195488721804,0.022556390977443608,0.12030075187969924,0.10526315789473684,01
